from.id.code;to.id.code
bab3ie1;bab3ie4
bab3i2;bab3e3
bab3e3;bab3ie4
bab3ie4;bab3ie3
bab3ie3;bab3ie2
bab3ie2;bab4ie1

### saida da escada
bab3ie1;bab3e2
bab3e2;bab3i2
bab3e2;bab3ia2
### 31-A
bab3i2;bab3a1

### Corredor
bab3ia2;bab3ia3
bab3ia3;bab3ia4
bab3ia4;bab3ia5
bab3ia4;bab3ia6
bab3ia2;bab3a2
bab3ia3;bab3a3
bab3ia3;bab3a10
bab3ia4;bab3a4
bab3ia4;bab3a9
bab3ia5;bab3a5
bab3ia5;bab3a8
bab3ia6;bab3a6
bab3ia6;bab3a7


## bloco B
### escada
#### faz curto-circuito
bab3ie5;bab3ie8
bab3i3;bab3e4
bab3e4;bab3ie8
bab3ie8;bab3ie7
bab3ie7;bab3ie6
bab3ie6;bab4ie5

### saida da escada
bab3ie5;bab3e4
bab3e4;bab3i3
bab3e4;bab3ib2
### 21-B
bab3i3;bab3b1

### Corredor
bab3ib2;bab3ib3
bab3ib3;bab3ib4
bab3ib4;bab3ib5
bab3ib4;bab3ib6
bab3ib2;bab3b2
bab3ib3;bab3b3
bab3ib3;bab3b10
bab3ib4;bab3b4
bab3ib4;bab3b9
bab3ib5;bab3b5
bab3ib5;bab3b8
bab3ib6;bab3b6
bab3ib6;bab3b7











# 4o andar
## bloco A
### escada
#### faz curto-circuito
bab4ie1;bab4ie4
bab4i2;bab4e3
bab4e3;bab4ie4
bab4ie4;bab4ie3
bab4ie3;bab4ie2
bab4ie2;bab5ie1

### saida da escada
bab4ie1;bab4e2
bab4e2;bab4i2
bab4e2;bab4ia2
### 31-A
bab4i2;bab4a1

### Corredor
bab4ia2;bab4ia3
bab4ia3;bab4ia4
bab4ia4;bab4ia5
bab4ia4;bab4ia6
bab4ia2;bab4a2
bab4ia3;bab4a3
bab4ia3;bab4a10
bab4ia4;bab4a4
bab4ia4;bab4a9
# bab4ia5;bab4a5
bab4ia5;bab4a8
bab4ia6;bab4a6
bab4ia6;bab4a7


## bloco B
### escada
#### faz curto-circuito
bab4ie5;bab4ie8
bab4i3;bab4e4
bab4e4;bab4ie8
bab4ie8;bab4ie7
bab4ie7;bab4ie6
bab4ie6;bab5ie5

### saida da escada
bab4ie5;bab4e4
bab4e4;bab4i3
bab4e4;bab4ib2
### 21-B
bab4i3;bab4b1

### Corredor
bab4ib2;bab4ib3
bab4ib3;bab4ib4
bab4ib4;bab4ib5
bab4ib4;bab4ib6
bab4ib2;bab4b2
bab4ib3;bab4b3
bab4ib3;bab4b10
bab4ib4;bab4b4
bab4ib4;bab4b9
bab4ib5;bab4b5
bab4ib5;bab4b8
bab4ib6;bab4b6
bab4ib6;bab4b7







# 5o andar
## bloco A
### escada
#### faz curto-circuito
bab5ie1;bab5ie4
bab5i2;bab5e3
bab5e3;bab5ie4
bab5ie4;bab5ie3
bab5ie3;bab5ie2
bab5ie2;bab6ie1

### saida da escada
bab5ie1;bab5e2
bab5e2;bab5i2
bab5e2;bab5ia2
### 31-A
bab5i2;bab5a1

### Corredor
bab5ia2;bab5ia3
bab5ia3;bab5ia4
bab5ia4;bab5ia5
bab5ia4;bab5ia6
bab5ia2;bab5a2
bab5ia3;bab5a3
bab5ia3;bab5a10
bab5ia4;bab5a4
bab5ia4;bab5a9
bab5ia5;bab5a5
bab5ia5;bab5a8
bab5ia6;bab5a6
bab5ia6;bab5a7


## bloco B
### escada
#### faz curto-circuito
bab5ie5;bab5ie8
bab5i3;bab5e4
bab5e4;bab5ie8
bab5ie8;bab5ie7
bab5ie7;bab5ie6
bab5ie6;bab6ie5

### saida da escada
bab5ie5;bab5e4
bab5e4;bab5i3
bab5e4;bab5ib2
### 21-B
bab5i3;bab5b1

### Corredor
bab5ib2;bab5ib3
bab5ib3;bab5ib4
bab5ib4;bab5ib5
bab5ib4;bab5ib6
bab5ib2;bab5b2
bab5ib3;bab5b3
bab5ib3;bab5b10
bab5ib4;bab5b4
bab5ib4;bab5b9
bab5ib5;bab5b5
bab5ib5;bab5b8
bab5ib6;bab5b6
bab5ib6;bab5b7





# 6o andar
## bloco A
### escada

### saida da escada
bab6ie1;bab6e2
bab6e2;bab6i2
bab6e2;bab6ia2
### 31-A
bab6i2;bab6a1

## bloco B
### escada

### saida da escada
bab6ie5;bab6e4
bab6e4;bab6i3
bab6e4;bab6ib2
### 21-B
bab6i3;bab6b1
