id.code;u;v
# Santiago Térreo
bab5ie4;85;29
bab5ie5;14;19
bab5ie6;4;19
bab5ie7;4;22
bab5ie8;14;22

bab6e2;81;25
bab6e3;81;29
bab6e4;16;19
bab6e5;16;22
bab6ie1;85;25
bab6ie2;96;25
bab6ie3;96;29
bab6ie4;85;29
bab6ie5;14;19
bab6ie6;4;19
bab6ie7;4;22
bab6ie8;14;22

# corredores

bab1ia1;80;17
bab1ia2;80;31
bab1ia3;80;45
bab1ia4;80;60
bab1ia5;80;74
bab1ia6;80;90
bab1ib1;20;17
bab1ib2;20;31
bab1ib3;20;45
bab1ib4;20;60
bab1ib5;20;74
bab1ib6;20;90

bab2ia1;80;17
bab2ia2;80;31
bab2ia3;80;45
bab2ia4;80;60
bab2ia5;80;74
bab2ia6;80;90
bab2ib1;20;17
bab2ib2;20;31
bab2ib3;20;45
bab2ib4;20;60
bab2ib5;20;74
bab2ib6;20;90

bab3ia1;80;17
bab3ia2;80;31
bab3ia3;80;45
bab3ia4;80;60
bab3ia5;80;74
bab3ia6;80;90
bab3ib1;20;17
bab3ib2;20;31
bab3ib3;20;45
bab3ib4;20;60
bab3ib5;20;74
bab3ib6;20;90

bab4ia1;80;17
bab4ia2;80;31
bab4ia3;80;45
bab4ia4;80;60
bab4ia5;80;74
bab4ia6;80;90
bab4ib1;20;17
bab4ib2;20;31
bab4ib3;20;45
bab4ib4;20;60
bab4ib5;20;74
bab4ib6;20;90

bab5ia1;80;17
bab5ia2;80;31
bab5ia3;80;45
bab5ia4;80;60
bab5ia5;80;74
bab5ia6;80;90
bab5ib1;20;17
bab5ib2;20;31
bab5ib3;20;45
bab5ib4;20;60
bab5ib5;20;74
bab5ib6;20;90

bab6ia1;80;17
bab6ia2;80;31
bab6ia3;80;45
bab6ia4;80;60
bab6ia5;80;74
bab6ia6;80;90
bab6ib1;20;17
bab6ib2;20;31
bab6ib3;20;45
bab6ib4;20;60
bab6ib5;20;74
bab6ib6;20;90




bc0a1;17;98
bc0a2;31;19
bc0s1;42;55

bc1s1;42;55

bc0i1;7;16
bc0i2;31;12
bc0i3;9;12
bc0i4;9;4
bc0i5;40;4
bc0i6;7;12

